Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_02x15_Odd_Even","SAMTEC_TFML-115-02-L-D-LC",140.895000,-68.500000,180.000000,top
"J4","Conn_02x10_Odd_Even","SAMTEC_TFML-110-02-L-D-LC-TR",140.895000,-95.110000,180.000000,top
"J5","Conn_02x15_Odd_Even","SAMTEC_TFML-115-02-L-D-LC",40.895000,-68.500000,180.000000,top
"J6","Conn_02x10_Odd_Even","SAMTEC_TFML-110-02-L-D-LC-TR",40.895000,-95.110000,180.000000,top
