Ref,Val,Package,PosX,PosY,Rot,Side
C1,1uF,C_0603_1608Metric,100.578,-88.85,90,bottom
C2,1uF,C_0603_1608Metric,93,-88.85,90,bottom
J1,CN1 / J11,SAMTEC_TFM-140-12-L-D-A,97.14,-102.21,0,bottom
J2,CN2 / J12,SAMTEC_TFM-140-12-L-D-A,97.14,-49.21,0,bottom
J3,Conn_02x15_Odd_Even,SAMTEC_TFML-115-02-L-D-LC,140.895,-68.5,180,top
J4,Conn_02x10_Odd_Even,SAMTEC_TFML-110-02-L-D-LC-TR,140.895,-95.11,180,top
J5,Conn_02x15_Odd_Even,SAMTEC_TFML-115-02-L-D-LC,40.895,-68.5,180,top
J6,Conn_02x10_Odd_Even,SAMTEC_TFML-110-02-L-D-LC-TR,40.895,-95.11,180,top
