Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,Conn_02x15_Odd_Even,SAMTEC_TFML-115-02-L-D-LC,140.895,-68.5,180,top
J4,Conn_02x10_Odd_Even,SAMTEC_TFML-110-02-L-D-LC-TR,140.895,-95.11,180,top
J5,Conn_02x15_Odd_Even,SAMTEC_TFML-115-02-L-D-LC,40.895,-68.5,180,top
J6,Conn_02x10_Odd_Even,SAMTEC_TFML-110-02-L-D-LC-TR,40.895,-95.11,180,top
